coordinate,x,y,overall-no-arctic,arctic
0.430,0.168100,0.142277,0.122183,0.000000
0.431,0.168100,0.142277,0.122183,0.000000
0.432,0.168100,0.142277,0.122183,0.000000
0.433,0.168100,0.142277,0.122183,0.000000
0.434,0.168100,0.142277,0.122183,0.000000
0.435,0.168100,0.142277,0.122183,0.000000
0.436,0.168100,0.142277,0.122183,0.000000
0.437,0.168100,0.142277,0.122183,0.000000
0.438,0.168100,0.142277,0.122183,0.000000
0.439,0.168100,0.142277,0.122183,0.000000
0.440,0.168100,0.142277,0.122183,0.000000
0.441,0.168100,0.142277,0.122183,0.000000
0.442,0.168100,0.142277,0.122183,0.000000
0.443,0.168100,0.140848,0.122183,0.000000
0.444,0.168100,0.140848,0.122183,0.000000
0.445,0.168100,0.140848,0.122183,0.000000
0.446,0.168100,0.140848,0.122183,0.000000
0.447,0.168614,0.140848,0.122183,0.000000
0.448,0.168614,0.140848,0.122183,0.000000
0.449,0.168614,0.140848,0.122183,0.000000
0.450,0.168614,0.140848,0.122183,0.000000
0.451,0.168614,0.140848,0.122183,0.000000
0.452,0.168614,0.140848,0.122183,0.000000
0.453,0.168614,0.140848,0.122183,0.000000
0.454,0.168614,0.140848,0.122183,0.000000
0.455,0.168614,0.140848,0.122183,0.000000
0.456,0.168614,0.140848,0.122183,0.000000
0.457,0.168614,0.140848,0.122183,0.000000
0.458,0.168614,0.143161,0.122183,0.000000
0.459,0.168614,0.143161,0.122183,0.000000
0.460,0.168614,0.143161,0.122183,0.000000
0.461,0.168614,0.143161,0.122183,0.000000
0.462,0.168614,0.143161,0.122183,0.000000
0.463,0.168614,0.143161,0.122183,0.000000
0.464,0.168614,0.143161,0.122183,0.000000
0.465,0.166500,0.143161,0.122183,0.000000
0.466,0.166500,0.143161,0.122183,0.000000
0.467,0.166500,0.143161,0.122183,0.000000
0.468,0.166500,0.143161,0.122183,0.000000
0.469,0.166500,0.143161,0.122183,0.000000
0.470,0.166500,0.143161,0.122183,0.000000
0.471,0.166500,0.143161,0.122183,0.000000
0.472,0.166500,0.145500,0.122183,0.000000
0.473,0.166500,0.145500,0.122183,0.000000
0.474,0.166500,0.145500,0.122183,0.000000
0.475,0.166500,0.145500,0.122183,0.000000
0.476,0.166500,0.145500,0.122183,0.000000
0.477,0.166500,0.145500,0.122183,0.000000
0.478,0.166500,0.145500,0.122183,0.000000
0.479,0.166500,0.145500,0.122183,0.000000
0.480,0.166500,0.145500,0.122183,0.000000
0.481,0.166500,0.145500,0.122183,0.000000
0.482,0.166500,0.145500,0.122183,0.000000
0.483,0.165907,0.145500,0.122183,0.000000
0.484,0.165907,0.145500,0.122183,0.000000
0.485,0.165907,0.145500,0.122183,0.000000
0.486,0.165907,0.144304,0.122183,0.000000
0.487,0.165907,0.144304,0.122183,0.000000
0.488,0.165907,0.144304,0.122183,0.000000
0.489,0.165907,0.144304,0.122183,0.000000
0.490,0.165907,0.144304,0.122183,0.000000
0.491,0.165907,0.144304,0.122183,0.000000
0.492,0.165907,0.144304,0.122183,0.000000
0.493,0.165907,0.144304,0.122183,0.000000
0.494,0.165907,0.144304,0.122183,0.000000
0.495,0.165907,0.144304,0.122183,0.000000
0.496,0.165907,0.144304,0.122183,0.000000
0.497,0.165907,0.144304,0.122183,0.000000
0.498,0.165907,0.144304,0.122183,0.000000
0.499,0.165907,0.144304,0.122183,0.000000
0.500,0.164879,0.144598,0.122183,0.000000
0.501,0.164879,0.144598,0.122183,0.000000
0.502,0.164879,0.144598,0.122183,0.000000
0.503,0.164879,0.144598,0.122183,0.000000
0.504,0.164879,0.144598,0.122183,0.000000
0.505,0.164879,0.144598,0.122183,0.000000
0.506,0.164879,0.144598,0.122183,0.000000
0.507,0.164879,0.144598,0.122183,0.000000
0.508,0.164879,0.144598,0.122183,0.000000
0.509,0.164879,0.144598,0.122183,0.000000
0.510,0.164879,0.144598,0.122183,0.000000
0.511,0.164879,0.144598,0.122183,0.000000
0.512,0.164879,0.144598,0.122183,0.000000
0.513,0.164879,0.144598,0.122183,0.000000
0.514,0.164879,0.144598,0.122183,0.000000
0.515,0.164879,0.144696,0.122183,0.000000
0.516,0.164879,0.144696,0.122183,0.000000
0.517,0.164879,0.144696,0.122183,0.000000
0.518,0.165300,0.144696,0.122183,0.000000
0.519,0.165300,0.144696,0.122183,0.000000
0.520,0.165300,0.144696,0.122183,0.000000
0.521,0.165300,0.144696,0.122183,0.000000
0.522,0.165300,0.144696,0.122183,0.000000
0.523,0.165300,0.144696,0.122183,0.000000
0.524,0.165300,0.144696,0.122183,0.000000
0.525,0.165300,0.144696,0.122183,0.000000
0.526,0.165300,0.144696,0.122183,0.000000
0.527,0.165300,0.144696,0.122183,0.000000
0.528,0.165300,0.144696,0.122183,0.000000
0.529,0.165300,0.145670,0.122183,0.000000
0.530,0.165300,0.145670,0.122183,0.000000
0.531,0.165300,0.145670,0.122183,0.000000
0.532,0.165300,0.145670,0.122183,0.000000
0.533,0.165300,0.145670,0.122183,0.000000
0.534,0.165300,0.145670,0.122183,0.000000
0.535,0.165300,0.145670,0.122183,0.000000
0.536,0.165086,0.145670,0.122183,0.000000
0.537,0.165086,0.145670,0.122183,0.000000
0.538,0.165086,0.145670,0.122183,0.000000
0.539,0.165086,0.145670,0.122183,0.000000
0.540,0.165086,0.145670,0.122183,0.000000
0.541,0.165086,0.145670,0.122183,0.000000
0.542,0.165086,0.145670,0.122183,0.000000
0.543,0.165086,0.146437,0.122183,0.000000
0.544,0.165086,0.146437,0.122183,0.000000
0.545,0.165086,0.146437,0.122183,0.000000
0.546,0.165086,0.146437,0.122183,0.000000
0.547,0.165086,0.146437,0.122183,0.000000
0.548,0.165086,0.146437,0.122183,0.000000
0.549,0.165086,0.146437,0.122183,0.000000
0.550,0.165086,0.146437,0.122183,0.000000
0.551,0.165086,0.146437,0.122183,0.000000
0.552,0.165086,0.146437,0.122183,0.000000
0.553,0.165086,0.146437,0.122183,0.000000
0.554,0.166714,0.146437,0.122183,0.000000
0.555,0.166714,0.146437,0.122183,0.000000
0.556,0.166714,0.146437,0.122183,0.000000
0.557,0.166714,0.146437,0.122183,0.000000
0.558,0.166714,0.146277,0.122183,0.000000
0.559,0.166714,0.146277,0.122183,0.000000
0.560,0.166714,0.146277,0.122183,0.000000
0.561,0.166714,0.146277,0.122183,0.000000
0.562,0.166714,0.146277,0.122183,0.000000
0.563,0.166714,0.146277,0.122183,0.000000
0.564,0.166714,0.146277,0.122183,0.000000
0.565,0.166714,0.146277,0.122183,0.000000
0.566,0.166714,0.146277,0.122183,0.000000
0.567,0.166714,0.146277,0.122183,0.000000
0.568,0.166714,0.146277,0.122183,0.000000
0.569,0.166714,0.146277,0.122183,0.000000
0.570,0.166714,0.146277,0.122183,0.000000
0.571,0.166714,0.146277,0.122183,0.000000
0.572,0.168271,0.145518,0.122183,0.000000
0.573,0.168271,0.145518,0.122183,0.000000
0.574,0.168271,0.145518,0.122183,0.000000
0.575,0.168271,0.145518,0.122183,0.000000
0.576,0.168271,0.145518,0.122183,0.000000
